Tienda;SKU;Código de Barras;Producto;Stock Mínimo (Base);Existencia Actual
"Américas";"KOC02";"8809328325329";" KOC02 * SLICE STRAWBERRY (6pcs)";10;10
"Américas";"BAN01";"1000000300001";"BANDITA CABELLO SKIN & B";26;26
"Américas";"YAD19";"8809340386568";"CACTUS LIP BALM.(01). VANILLA";10;12
"Américas";"YAD20";"8809340386575";"CACTUS LIP BALM.(02). PEACH";12;12
"Américas";"YAD21";"8809340386582";"CACTUS LIP BALM.(03). STRAWBERRY ";12;12
"Américas";"YAD22";"8809340386599";"CACTUS LIP BALM.(04). CHERRY";12;12
"Américas";"YAD00";"";"CACTUS SOOTHING GEL 15ML";0;0
"Américas";"YAD11";"8809340385349";"CACTUS SOOTHING GEL 250ML";6;6
"Américas";"CEN02";"8809576260601";"CENTELLA AMPOULE";4;4
"Américas";"CEN05";"8809576261110";"Centella Light Cleansing Oil";0;3
"Américas";"CEN01";"8809913830115";"CENTELLA POREMIZING AMPOULE";4;4
"Américas";"CEN04";"8809576261462";"CENTELLA POREMIZING AMPOULE 100ML";2;1
"Américas";"CEN03";"8809913830085";"Centella Poremizing Clay Stick";5;5
"Américas";"YAD16";"8809340384373";"CHARCOAL CLEANSING NOSE PACK";5;0
"Américas";"YAD17";"8809340384465";"GREEN TEA PURE CLEANSING BALM";8;7
"Américas";"HAR11";"8809532221943";"HARU CENTELLA PEPTIDE CREAM REFIL";6;6
"Américas";"HAR03";"8809532221707";"HARUHARU AIRYFIT SUNSCREEN";12;12
"Américas";"HAR05";"8809532221523";"HARUHARU BAKUCHIOL EYE CREAM";12;9
"Américas";"HAR13";"8809532221929";"HARUHARU BAMBOO DAILY SUNSHIELD";12;12
"Américas";"HAR09";"8809532221813";"haruharu Centella 4% TXA Spot Serum";10;10
"Américas";"HAR10";"8809532221790";"HARUHARU CENTELLA PEPTIDE CREAM";10;10
"Américas";"HAR04";"8809532221691";"HARUHARU MINERAL RELIEF SUNSCREEN";12;12
"Américas";"HAR01";"8809532221721";"HARUHARU RICE HYALURONIC CREAM";10;8
"Américas";"HAR02";"8809532221462";"HARUHARU RICE HYALURONIC TONER";10;10
"Américas";"HAR06";"8809532221356";"HARUHARU RICE SOFT CLEANSING GEL";10;10
"Américas";"HAR12";"8809532221783";"HARUHARU TRIPLE AHA CLEANSING GEL";15;15
"Américas";"KOC16";"8809328324049";"Koc Waffle Mask Honey";15;15
"Américas";"KOC12";"8809328324001";"Koc Waffle Mask Strawberry";15;14
"Américas";"KOC28";"8809328325190";"KOCOSTAR COLLAGEN MASK";15;15
"Américas";"KOC10";"8809328320287";"KOCOSTAR FOOT PACK PURPLE";15;15
"Américas";"KOC09";"8809328320270";"KOCOSTAR FOOT PACK YELLOW";15;15
"Américas";"KOC08";"8809328320256";"KOCOSTAR HAND PACK MINT";4;4
"Américas";"KOC07";"8809328320232";"KOCOSTAR HAND PACK PURPLE";15;14
"Américas";"KOC06";"8809328320218";"KOCOSTAR HAND PACK YELLOW";15;16
"Américas";"KOC29";"8809328325183";"KOCOSTAR HYALURONIC MASK";15;15
"Américas";"KOC31";"8809328326418";"KOCOSTAR RETINOL MASK";15;14
"Américas";"KOC30";"8809328325213";"KOCOSTAR TEA TREE MASK";15;15
"Américas";"HAR14";"";"Mini Haru Hyaluronic Toner (10ml)";0;0
"Américas";"JAD01";"1000000200001";"MINI JADE ROLLER MOUNT L";2;2
"Américas";"KOC27";"8809328325312";"PEACH DUO DUO";5;5
"Américas";"KOC32";"8809328325282";"PREMIUM FOOT PEELING PACK";15;15
"Américas";"KOC17";"8809328320058";"Princess Eye Patch Gold (tarro)";12;10
"Américas";"KOC18";"8809328321338";"Princess EyePatch Gold Sachet";15;12
"Américas";"PUR02";"8809563103706";"Purito BB Cream Natural Beige #23";0;3
